,Agent,sample_id,sample_size,sample,mu,sd
18,0,17,5,"[0.49002365932048075, 1.5054774162859357, 0.9119974212163382, 0.41162584405851876, 1.8375932588700363]",1.2202455989681789,0.6003838419417227
19,0,18,7,"[1.341106861931072, 0.587788875783924, 0.3446460574799699, 0.7924305151668332, 0.3305152641921546, 1.836386262924361, 1.0223124843108364]",1.0264536723359727,0.6003838419417227
20,0,19,6,"[1.674495257864378, 1.5266031879218809, 1.831495014118703, 1.7217495058774843, 1.7094043609439986, 1.6972816811801203]",1.5306536420861192,0.6003838419417227
21,0,20,8,"[2.1099502047917404, 1.2157301901234465, 0.9809281020264183, 2.853325720490588, 1.858610253528638, 1.5851114580105927, 2.6495370318522804, 1.2965339227718606]",1.754052120805523,0.6003838419417227
22,0,21,9,"[0.7298723365449273, 1.68083056382955, 1.83619712649369, 0.3510675641434917, 2.0923778194028326, 0.7673617636974153, 1.3096857807409834, 1.50635849036554, 2.5793012156137416]",1.4322741130415575,0.6003838419417227
23,0,22,9,"[0.054085979388655114, 2.868770190068718, 1.7193064270088798, 1.136544258751783, 1.2595069363995894, 2.0338019766432636, 0.17126097363838622, 1.327039564098093, 0.5880901159642473]",1.044986928874914,0.6003838419417227
24,0,23,6,"[2.0873792810463843, 0.9307076475196456, 0.4972281204416116, 1.5974984824300735, 2.0213611303552725, 1.5636296165092625]",1.7861223111794748,0.6003838419417227
25,0,24,9,"[2.648830494903803, 2.5798109784528354, 2.212301773642737, 2.5133551981261757, 1.6662376360882631, 1.7778660127607635, 2.1416980616117374, 1.3892779377500197, 1.9231026917512373]",1.7213956923500584,0.4105330065357462
26,0,25,7,"[1.9317398490270852, 2.32917738410089, 1.3610544609551403, 1.9417224114151235, 1.8208142918485846, 1.5969869826591385, 2.9838759302316213]",1.837710251812604,0.4105330065357462
27,0,26,8,"[1.5929229304232004, 2.035619616500343, 1.3254995003168386, 0.7659663016032155, 1.091097604937553, 1.0856786324841172, 1.1221634410062973, 2.137445869581961]",1.2841653629799321,0.6003838419417227
28,0,27,9,"[1.1986966942868362, 1.129745927575666, 1.3842716830946535, 1.5430725655165582, 1.3458446824400667, 1.592026748724019, 1.7342662288835844, 1.391920966315679, 1.5550642076232664]",1.3550950291277104,0.4105330065357462
29,0,28,5,"[2.106903709246679, 1.4584010135262924, 1.1370909238905924, 0.4231754182422641, 2.312200859350699]",1.3519630728347565,0.4105330065357462
30,0,29,7,"[1.2539692428877647, 1.8293615395399387, 0.5108805802449412, 1.4729803769044354, 1.9585729079103185, 1.429142013665593, 2.1149242009565015]",1.696150047361187,0.6003838419417227
31,0,30,4,"[1.6361664822265618, 1.784379460263803, 2.317802849448922, 1.9465991271805438]",1.7135746954584785,0.4105330065357462
32,0,31,8,"[1.9404396455879451, 2.133645875881598, 2.8023106219155434, 1.6162992575758803, 2.0673010117930533, 1.4556397911661894, 1.724040091016322, 0.7984810616624333]",1.5987552523185848,0.6003838419417227
33,0,32,7,"[2.373051534856839, 1.82597413965971, 1.8499080662961402, 0.673204696967793, 0.7042977252543599, -0.14761510740783956, 0.8283990251813993]",1.1530795796782387,0.6003838419417227
34,0,33,3,"[0.16337850576383317, 1.0541954652167862, 1.6790569018337096]",1.1228851633271804,0.6003838419417227
35,0,34,3,"[2.280891609306745, 1.5114027093436404, 3.092977693226832]",1.9790458591291706,0.4105330065357462
36,0,35,9,"[1.6485403392457147, 1.711636593475135, 1.4452441557394844, 1.7531135183183644, 1.9774951335841657, 1.509440276189769, 2.811142818549321, 1.726768025361887, 2.3071118623431834]",1.8674096357130368,0.6003838419417227
37,0,36,8,"[0.7649070414487447, 0.4845735264583555, 2.031857602201464, 0.809565931731354, 1.8957226372106375, 1.6271702609777545, 0.9613313907123306, 0.5188789232704882]",1.2626357511608317,0.6003838419417227
38,0,37,7,"[2.2668070334565575, 1.747804605083111, 2.679568991007418, 1.7507911007877603, 1.6397320678696508, 0.43215321619399316, 2.2947001782913414]",1.8533410030401436,0.6003838419417227
39,0,38,4,"[1.5217239569031042, 1.0564731881221203, 0.7482496407538277, 0.6784155154792594]",1.1294992038599525,0.4105330065357462
40,0,39,9,"[1.3591668181271108, 1.784109858082485, 0.9181843971276529, 0.9170057191236071, 1.1416044849601041, 1.1420208180817613, 1.7373049937073395, 2.2867978208821906, 1.1119780849022392]",1.3406439502648633,0.4105330065357462
41,0,40,5,"[1.5858721815521337, 1.89427137282698, 1.5893283928074489, 1.6422762787058254, 1.0681709135134612]",1.2333837562833136,0.4105330065357462
42,0,41,7,"[1.0720415106443355, 1.9050350214302783, 1.5088196878952227, 1.2642552252890809, 1.6454654870504588, 2.130359988910992, 1.5870488149419595]",1.275283625234461,0.6003838419417227
43,0,42,8,"[2.349465056122292, 1.8875254138443192, 2.25000544330381, 1.818576037278925, 1.744617035719307, 1.7892035443093965, 1.7256207972060174, 1.867371917470243]",1.7458759998814064,0.4105330065357462
44,0,43,9,"[0.14546530370392552, 1.505277241608424, 1.5367889081212027, 0.5072226953437212, 1.3114137234729202, 1.027593864835242, 0.3237775001050084, 1.7572946590371012, 1.0590079178767509]",1.05787519879333,0.6003838419417227
45,0,44,6,"[1.8138330077828875, 1.9930634069989295, 1.6236453463045235, 1.4419224988427517, 1.5279577649840597, 1.5263099468345551]",1.2997884614844595,0.4105330065357462
46,0,45,5,"[1.9214878818721033, 1.1645387091632924, 1.5445294810266617, 1.6558641999105101, 1.1227356424682913]",1.3352626486547714,0.4105330065357462
47,0,46,7,"[0.46161493550771726, 1.0314692154081895, 1.348241868735764, 0.8366713517101747, 0.41407881877165686, 0.5530265591654964, 2.1076285008161366]",1.0521765188184702,0.6003838419417227
48,0,47,4,"[2.072012179348826, 2.0554156442272977, 2.4279855557222048, 1.39741127241383]",1.753412758332411,0.4105330065357462
49,0,48,6,"[2.1899303102823215, 1.368846108987125, 1.8672225917159118, 1.8102492204580194, 1.0127275424433442, 0.8216277072421874]",1.612238472703106,0.6003838419417227
50,0,49,6,"[2.180082542634185, 1.3305890445688446, 2.3742321381306457, 2.0602155222982987, 2.397785345509339, 1.4848330046972718]",1.8944900095638535,0.4105330065357462
51,0,50,7,"[2.646570453890452, 1.559364646854958, 1.3725790284500532, 1.6515506620761429, 1.5542992955580146, 1.900207989338463, 1.3628445846104098]",1.6491883788458983,0.4105330065357462
52,0,51,8,"[1.0356464268128, 1.7648799243801665, 2.124798206391638, 1.3221537278602349, 2.0022331630681047, 1.5305987399880978, 1.7007051221987235, 0.6839409045380688]",1.5373033126490443,0.6003838419417227
53,0,52,8,"[1.4617729844878395, 2.105870427541819, 1.7267059233820725, 1.7455412177534348, 2.3242279772189534, 1.4926382035249337, 1.2630746315790948, 1.7095256544328488]",1.9575753111821732,0.4105330065357462
